text;label
my request is very urgent!!;urgent
my request is very important!!;urgent
my request is really urgent!!;urgent
my request is really impotant!!;urgent
you must complete this Mission now !!;urgent
you must complete your Mission now !!;urgent
you must complete this Mission right now !!;urgent
you must complete this Mission instantly !!;urgent
you must complete this Mission fast !!;urgent
you must complete this Mission very fast !!;urgent
you must complete your Mission right now !!;urgent
you must complete your Mission instantly !!;urgent
you must complete your Mission fast !!;urgent
you must complete your Mission very fast !!;urgent
you must complete this Mission now it's urgent !!;urgent
you must complete your Mission now it's urgent !!;urgent
i must prepare this work immediatly!!;urgent
i must prepare this work right now!!;urgent
i must prepare this work instantly!!;urgent
i must prepare this work very fast!!;urgent
i must prepare this work in 2 minutes !!;urgent
you must prepare this work immediatly!!;urgent
you must prepare this work right now!!;urgent
you must prepare this work instantly!!;urgent
you must prepare this work very fast!!;urgent
you must prepare this work in 2 minutes!!;urgent
i have to prepare this work immediatly!!;urgent
i have to prepare this work right now!!;urgent
i have to prepare this work instantly!!;urgent
i have to prepare this work very fast!!;urgent
i have to prepare this work in 2 minutes !!;urgent
you have to prepare this work immediatly!!;urgent
you have to prepare this work right now!!;urgent
you have to prepare this work instantly!!;urgent
you have to prepare this work very fast!!;urgent
you have to prepare this work in 2 minutes !!;urgent
i need these papers very quickly!!;urgent
i need these papers very fast!!;urgent
i need these papers now!!;urgent
i need these papers right now!!;urgent
i need these papers immediatly!!;urgent
i need these papers instantly!!;urgent
i need these papers it's very urgent!!;urgent
i need these papers it's very important!!;urgent
you must provide  my products now !!;urgent
you must provide  my products right now !!;urgent
you must provide  my products immediatly !!;urgent
you must provide  my products hurry !!;urgent
you must provide  my products hurry up !!;urgent
you must provide  my products fast !!;urgent
you must provide  my products very fast !!;urgent
you have to give me the headphones instantly!!;urgent
you have to give me the headphones immediatly!!;urgent
you have to give me the headphones now!!;urgent
you have to give me the headphones right now!!;urgent
you must pay your bills now !!;urgent
i must pay my bills now !!;urgent
you must pay your bills right now !!;urgent
i must pay my bills right now !!;urgent
you must pay your bills immediatly !!;urgent
i must pay my bills immediatly !!;urgent
i need my credit card immediately;urgent
i need my credit card now;urgent
i need my credit card right now;urgent
i need my credit card instantly;urgent
i want my credit card immediately;urgent
i want my credit card now;urgent
i want my credit card right now;urgent
i want my credit card instantly;urgent
you must give me my credit card immediately;urgent
you must give me my credit card now;urgent
you must give me my credit card right now;urgent
you must give me my credit card instantly;urgent
I need your help please complete this call now!!;urgent
I need your help please complete this call right now!!;urgent
I need your help please complete this call fast!!;urgent
I need your help please complete this call as soon as possible!!;urgent
I need your help please complete this call very fast!!;urgent
I need your help please finish this call now!!;urgent
I need your help please finish this call right now!!;urgent
I need your help please finish this call fast!!;urgent
I need your help please finish this call very fast!!;urgent
I need your help please finish this call as soon as possible!!;urgent
I need your help with something please complete this call now!!;urgent
I need your help with something please complete this call right now!!;urgent
I need your help with something please complete this call fast!!;urgent
I need your help with something please complete this call very fast!!;urgent
I need your help with something please complete this call as soon as possible!!;urgent
I need your help with something please finish this call now!!;urgent
I need your help with something please finish this call right now!!;urgent
I need your help with something please finish this call fast!!;urgent
I need your help with something please finish this call very fast!!;urgent
I need your help with something please finish this call as soon as possible!!;urgent
Print these sheets instantly!!;urgent
Print these sheets immediatly!!;urgent
Print these sheets now!!;urgent
Print these sheets right now!!;urgent
Print these sheets hurry!!;urgent
Print these sheets hurry up!!;urgent
Print these sheets as soon as possible!!;urgent
I need your help immediatly!!;urgent
I need your help instantly!!;urgent
I need your help now!!;urgent
I need your help right now!!;urgent
I need your help fast!!;urgent
I need your help very fast!!;urgent
I want your help immediatly!!;urgent
I want your help instantly!!;urgent
I want your help now!!;urgent
I want your help right now!!;urgent
I want your help fast!!;urgent
I want your help very fast!!;urgent
Call the hospital now !!;urgent
Call the hospital right now !!;urgent
Call the hospital immediatly !!;urgent
Call the hospital hurry !!;urgent
Call the hospital hurry up !!;urgent
Call the police now!!;urgent
Call the police right now!!;urgent
Call the police immediatly!!;urgent
Call the police instantly!!;urgent
You must give me your answer now !!;urgent
You must give me your answer right now !!;urgent
You must give me your answer immediatly !!;urgent
You must give me your answer fast !!;urgent
You must give me your answer very fast !!;urgent
You must give me your answer as soon as possible !!;urgent
you should do this work immediately;urgent
you should do this work now;urgent
you should do this work right now;urgent
you should do this work fast;urgent
you should do this work very fast;urgent
you should do this work instantly;urgent
you must do this work immediately;urgent
you must do this work now;urgent
you must do this work right now;urgent
you must do this work fast;urgent
you must do this work very fast;urgent
you must do this work instantly;urgent
I need to go to the hospital instantly!!;urgent
I need to go to the hospital immediatly!!;urgent
I need to go to the hospital now!!;urgent
I need to go to the hospital right now!!;urgent
I need to go to the hospital fast!!;urgent
I need to go to the hospital very fast!!;urgent
I need to go to the hospital hurry!!;urgent
I need to go to the hospital hurry up!!;urgent
I need to go to the hospital as soon as possible!!;urgent
my boss demand this work instantly;urgent
my boss demand this work immediatly;urgent
my boss demand this work now;urgent
my boss demand this work right now;urgent
your boss demand this work instantly;urgent
your boss demand this work immediatly;urgent
your boss demand this work now;urgent
your boss demand this work right now;urgent
I want to extract these papers now!!;urgent
I want to extract these papers right now!!;urgent
I want to extract these papers fast!!;urgent
I want to extract these papers very fast!!;urgent
I want to extract these papers immediatly!!;urgent
he must charge these batteries instantly!!;urgent
he must charge these batteries immediatly!!;urgent
he must charge these batteries now!!;urgent
he must charge these batteries right now!!;urgent
you must charge these batteries instantly!!;urgent
you must charge these batteries immediatly!!;urgent
you must charge these batteries now!!;urgent
you must charge these batteries right now!!;urgent
i must charge these batteries instantly!!;urgent
i must charge these batteries immediatly!!;urgent
i must charge these batteries now!!;urgent
i must charge these batteries right now!!;urgent
he have to charge these batteries instantly!!;urgent
he have to charge these batteries immediatly!!;urgent
he have to charge these batteries now!!;urgent
he have to charge these batteries right now!!;urgent
you should repair my car immediately;urgent
you must repair my car immediately;urgent
you have to repair my car immediately;urgent
you should repair my car now;urgent
you should repair my car right now;urgent
you should repair my car instantly;urgent
you must repair my car now;urgent
you must repair my car right now;urgent
you must repair my car instantly;urgent
you have to repair my car instantly;urgent
you have to repair my car now;urgent
you have to repair my car right now;urgent
they must complete their work now ;urgent
he must complete his work now ;urgent
i must complete my work now ;urgent
she must complete her work now ;urgent
we must complete our work now ;urgent
Mom wants to finish her business now!!;urgent
dad wants to finish his business now!!;urgent
I need to repair my motorcycle now !! ;urgent
I need to repair my motorcycle right now !! ;urgent
I need to repair my motorcycle fast !! ;urgent
I need to repair my motorcycle very fast !! ;urgent
Good case, Excellent value.;noturgent
Great for the jawbone.;noturgent
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!;noturgent
The mic is great.;noturgent
I have to jiggle the plug to get it to line up right to get decent volume.;noturgent
If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.;noturgent
If you are Razr owner...you must have this!;noturgent
Needless to say, I wasted my money.;noturgent
What a waste of money and time!.;noturgent
And the sound quality is great.;noturgent
He was very impressed when going from the original battery to the extended battery.;noturgent
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.;noturgent
Very good quality though;noturgent
"The design is very odd, as the ear ""clip"" is not very comfortable at all.";noturgent
Highly recommend for any one who has a blue tooth phone.;noturgent
I advise EVERYONE DO NOT BE FOOLED!;noturgent
So Far So Good!;noturgent
Works great!;noturgent
It clicks into place in a way that makes you wonder how long that mechanism would last;noturgent
I went on Motorola's website and followed all directions, but could not get it to pair again.;noturgent
I bought this to use with my Kindle Fire and absolutely loved it!;noturgent
The commercials are the most misleading.;noturgent
I have yet to run this new battery below two bars and that's three days without charging.;noturgent
I bought it for my mother and she had a problem with the battery.;noturgent
Great Pocket PC / phone combination.;noturgent
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.;noturgent
I didn't think that the instructions provided were helpful to me.;noturgent
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.;noturgent
Doesn't hold charge.;noturgent
This is a simple little phone to use, but the breakage is unacceptible.;noturgent
This product is ideal for people like me whose ears are very sensitive.;noturgent
It is unusable in a moving car at freeway speed.;noturgent
I have two more years left in this contract and I hate this phone.;noturgent
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended;noturgent
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.;noturgent
It has kept up very well.;noturgent
Poor Talk Time Performance.;noturgent
The case is great and works fine with the 680.;noturgent
worthless product.;noturgent
It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.;noturgent
I was not impressed by this product.;noturgent
Nice headset priced right.;noturgent
I only hear garbage for audio.;noturgent
Excellent bluetooth headset.;noturgent
It has all the features I want;noturgent
Who in their right mind is gonna buy this battery?.;noturgent
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.;noturgent
This case seems well made.;noturgent
Disappointed with battery.;noturgent
Not loud enough and doesn't turn on like it should.;noturgent
good protection and does not make phone too bulky.;noturgent
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.;noturgent
This phone is pretty sturdy and I've never had any large problems with it.;noturgent
I love this thing!;noturgent
Everything about it is fine and reasonable for the price i.e.;noturgent
VERY DISAPPOINTED.;noturgent
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!;noturgent
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.;noturgent
The buttons for on and off are bad.;noturgent
Essentially you can forget Microsoft's tech support.;noturgent
I really recommend this faceplates since it looks very nice, elegant and cool.;noturgent
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.;noturgent
Buy a different phone - but not this.;noturgent
You have to hold the phone at a particular angle for the other party to hear you clearly.;noturgent
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.;noturgent
A week later after I activated it, it suddenly died.;noturgent
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.;noturgent
Great for iPODs too.;noturgent
This device is great in several situations:1.);noturgent
Mic Doesn't work.;noturgent
Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.;noturgent
Great choice!;noturgent
Nice docking station for home or work.;noturgent
This is a beautiful phone.;noturgent
Love this product.;noturgent
Do Not Buy for D807...wrongly advertised for D807.;noturgent
This is a great little item.;noturgent
I love this phone , It is very handy and has a lot of features .;noturgent
I purchased this and within 2 days it was no longer working!!!!!!!!!;noturgent
I wear it everyday and it holds up very well.;noturgent
Not a good bargain;noturgent
Well packaged, arrived on time, and works as intended.;noturgent
The battery runs down quickly.;noturgent
This item worked great, but it broke after 6 months of use.;noturgent
The headsets are easy to use and everyone loves them.;noturgent
This phone works great.;noturgent
The construction of the headsets is poor.;noturgent
Product was excellent and works better than the verizon one and Boy was it cheaper!;noturgent
The phone loads super!;noturgent
For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.;noturgent
Made very sturdy.;noturgent
Worked great!.;noturgent
The ear buds only play music in one ear.;noturgent
Dont waste your money...;noturgent
Will order from them again!;noturgent
If you plan to use this in a car forget about it.;noturgent
I found this product to be waaay too big.;noturgent
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.;noturgent
I'm very disappointed with my decision.;noturgent
Integrated seamlessly with the Motorola RAZR phone.;noturgent
Buyer Beware, you could flush money right down the toilet.;noturgent
Definitely a bargain.;noturgent
The price was very good and with the free shipping and all it was a good purchase.;noturgent
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.;noturgent
Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.;noturgent
That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).;noturgent
I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.;noturgent
I purchased this for the car charger and it does not work.;noturgent
Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.;noturgent
This phone is slim and light and the display is beautiful.;noturgent
The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.;noturgent
Great product, fast shipping!.;noturgent
Absolutely great.;noturgent
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.;noturgent
i got this phone around the end of may and i'm completely unhappy with it.;noturgent
It is very comfortable on the ear.;noturgent
It has been a winner for us.;noturgent
Setup couldn't have been simpler.;noturgent
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.;noturgent
Could not get strong enough signal.;noturgent
Iam very pleased with my purchase.;noturgent
Bad Quality.;noturgent
Gets the job done.;noturgent
Great audio!.;noturgent
Basically the service was very bad.;noturgent
it did not work in my cell phone plug i am very up set with the charger!.;noturgent
I've only had my bluetooth for a few weeks, but I really like it.;noturgent
The BT headset was such a disappoinment.;noturgent
It is so small and you don't even realize that it is there after a while of getting used to it.;noturgent
The accompanied software is almost brilliant.;noturgent
Headset works great & was packaged nicely to avoid any damage.;noturgent
I definitly recommend!!;noturgent
Buyer--Be Very Careful!!!!!;noturgent
The majority of the Logitech earbud headsets failed.;noturgent
Very good stuff for the price.;noturgent
My headset works just peachy-keen.;noturgent
In my house I was getting dropped coverage upstairs and no coverage in my basement.;noturgent
Voice recognition is tremendous!;noturgent
What a waste.;noturgent
During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.;noturgent
I was not happy with this item.;noturgent
very disappointed.;noturgent
The phone takes FOREVER to charge like 2 to 5 hours literally.;noturgent
I got this phone on reccomendation from a relative and I'm glad I did.;noturgent
What a waste of time!;noturgent
Its reception is very very poor.;noturgent
Items stated as included from the description ARE NOT INCLUDED.;noturgent
After 3 months, screen just went black all of a sudden.;noturgent
I Was Hoping for More.;noturgent
Audio Quality is poor, very poor.;noturgent
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!;noturgent
I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.;noturgent
I've bought $5 wired headphones that sound better than these.;noturgent
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.;noturgent
Nice quality build, unlike some cheap s*** out there.;noturgent
This item is fantastic and works perfectly!;noturgent
And I just love the colors!;noturgent
W810i is just SUPERB.;noturgent
All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.;noturgent
Great charger.;noturgent
This is essentially a communications tool that does not communicate.;noturgent
"Works like a charm; it work the same as the one I got with the phone.";noturgent
I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.;noturgent
Great Value.;noturgent
Doesn't work at all.. I bougth it for my L7c and its not working.;noturgent
The look of it is very sharp and the screen is nice and clear, with great graphics.;noturgent
doesn't last long.;noturgent
One thing I hate is the mode set button at the side.;noturgent
EXCELLENT SERVICE!!!!!!!!.;noturgent
Thank you for wasting my money.;noturgent
How can that be?The audio quality is poor.;noturgent
The iGo chargers and tips are really great.;noturgent
The file browser offers all the options that one needs.Handsfree is great.;noturgent
Superb Phone on a Great Network.;noturgent
I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.;noturgent
I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.;noturgent
It only recognizes the Phone as its storage device.;noturgent
If you like a loud buzzing to override all your conversations, then this phone is for you!;noturgent
Don't buy this product.;noturgent
I've had this bluetooth headset for some time now and still not comfortable with the way it fits on the ear.;noturgent
The sound quality is good and functionality is awesome.;noturgent
I have this phone and it is a thorn in my side, I really abhor it.;noturgent
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.;noturgent
Incredible!.;noturgent
Design Flaw?.;noturgent
Great phone!.;noturgent
Waste of 13 bucks.;noturgent
But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.;noturgent
The replacement died in a few weeks.;noturgent
Any ring tone..Overall good phone to buy..;noturgent
Lately they have been extremely nice and helpful on the phone.;noturgent
I have had problems wit hit dropping signal and more.;noturgent
Not impressed.;noturgent
Light weight, I hardly notice it is there.;noturgent
You'll love how thin it is.;noturgent
Bad Choice.;noturgent
The pleather case doesn't fit.;noturgent
useless phone, simply deaf.;noturgent
The color is even prettier than I thought it would be, and the graphics are incredibly sharp.;noturgent
All in all I think it was a good investment.;noturgent
It makes very strange ticking noises before it ends the call.;noturgent
The best electronics of the available FM Transmitters.;noturgent
Battery lasts only a few hours.;noturgent
great headset, very impressed - H500.;noturgent
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good.";noturgent
I've had this for nearly 2 years and it has worked great for me.;noturgent
Good transmit audio.;noturgent
We are sending it back.;noturgent
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.;noturgent
If you hate earbuds, avoid this phone by all means.;noturgent
Great price also!;noturgent
The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.;noturgent
fast service.;noturgent
I would highly recommend this.;noturgent
I would recommend this.;noturgent
"I also didn't like the ""on"" button, it felt like it would crack with use.";noturgent
WORST PHONE EVER.;noturgent
I'm still infatuated with this phone.;noturgent
Freezes frequently.;noturgent
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.;noturgent
Simple, lightweight and great fit.;noturgent
All in all, I'd expected a better consumer experience from Motorola.;noturgent
There's a horrible tick sound in the background on all my calls that I have never experienced before.;noturgent
These are certainly very comfortable and functionality is decent.;noturgent
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.;noturgent
I'm a bit disappointed.;noturgent
I have had this phone for over a year now, and I will tell you, its not that great.;noturgent
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).;noturgent
The battery is completely useless to me.;noturgent
What a big waste of time.;noturgent
Don't waste your $$$ on this one.;noturgent
Great sound and service.;noturgent
Great sound and service.;noturgent
One of my favorite purchases ever.;noturgent
best bluetooth on the market.;noturgent
I need  now this service !!  I am very rushed!!;urgent
Authentic leather with nice shine and comfort .I recommend you this case !!;noturgent
I was very excited to get this headset because I thought it was really cute.;noturgent
Do not make the same mistake as me.;noturgent
Big Disappointment with calendar sync.;noturgent
the phone was unusable and was not new.;noturgent
Worst Customer Service Ever.;noturgent
No additional ear gels provided, and no instructions whatsoever.;noturgent
It defeats the purpose of a bluetooth headset.;noturgent
Worth every penny.;noturgent
Excellent wallet type phone case.;noturgent
Nice headphones for the price and they work great!;noturgent
Internet is excrutiatingly slow.;noturgent
It is very comfortable to wear as well, which is probably the most important aspect about using a case.;noturgent
It's fits like a glove and is strong, secure, and durable.;noturgent
O my gosh the best phone I have ever had.;noturgent
It's very attractive and appears to be of good quality.;noturgent
I love all the features and form factor.;noturgent
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it;noturgent
poor quality and service.;noturgent
The cable looks so thin and flimsy, it is scary.;noturgent
Great Earpiece.;noturgent
Excellent hands free tool.;noturgent
Great for using with your home stereo.;noturgent
Good product - incredible value.;noturgent
Only had this a month but it's worked flawlessly so far.;noturgent
Works great.;noturgent
Absolutel junk.;noturgent
THAT one didn't work either.;noturgent
Battery life is real good.;noturgent
Returned 8 hours later.;noturgent
It's a great item.;noturgent
Don't waste your money!.;noturgent
Love this headset!;noturgent
Not only will it drain your player, but may also potentially fry it.;noturgent
Worked perfectly!;noturgent
Unreliable - I'm giving up.;noturgent
I gave it 5 stars because of the sound quality.;noturgent
Avoid this one if you can.;noturgent
Reversible plug works great.;noturgent
I wasted my little money with this earpiece.;noturgent
Very good phone.;noturgent
You have been deceptive and fraud i will sue you!!;noturgent
Best of all is the rotating feature, very helpful.;noturgent
Comfort for our whole family.;noturgent
Good product, good seller.;noturgent
I love this bluetooth!;noturgent
First of all, it doesn't wear well.;noturgent
I am very impressed with this headset from Plantronics.;noturgent
I got it because it was so small and adorable.;noturgent
Great phone!.;noturgent
I wouldn't recommend buying this product.;noturgent
Piece of Junk.;noturgent
Poorly construct hinge.;noturgent
This item is great, installed it, let it charged up overnite and it has been working good every since with no problems;noturgent
Great Phone.;noturgent
Don't buy it.;noturgent
Excellent Phone.;noturgent
if you do not change the service I will not recommend your product;noturgent
DO NOT PURCHASE THIS PHONE.;noturgent
The voice recognition thru the handset is excellent.;noturgent
This is hands down the best phone I've ever had.;noturgent
Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.;noturgent
This one works and was priced right.;noturgent
